Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.87,1594,1285,1875,3,0.342
Completed,0.9,4413,4982,1684,8,0.749
Completed,0.91,1353,1325,882,6,0.824
Completed,0.75,9230,2793,4561,4,0.142
Completed,0.86,4137,2969,2044,6,0.374
Completed,0.85,4731,1774,3379,5,0.658
Completed,0.84,2206,4493,4215,3,0.767
Completed,0.91,1647,4315,1208,4,0.888
Completed,0.69,10148,349,4878,8,0.081
Completed,0.91,1658,1879,1385,1,0.561
Completed,0.85,3336,3381,2550,10,0.471
Completed,0.69,6070,2134,2776,6,0.17
Completed,0.88,1576,563,963,2,0.69
Completed,0.92,1565,4116,320,3,0.579
Completed,0.72,8084,616,4146,9,0.389
Completed,0.74,765,2158,2098,5,0.97
Completed,0.88,1514,3405,2031,2,0.668
Completed,0.89,1865,2577,656,9,0.502
Completed,0.79,5413,1541,4491,1,0.468
Completed,0.86,4978,4729,3103,3,0.107
Completed,0.82,3663,3615,3976,6,0.655
Completed,0.7,7989,2210,3656,3,0.033
Completed,0.84,467,17,88,7,0.577
Completed,0.84,3962,4022,3753,5,0.394
Completed,0.76,4977,1137,4657,10,0.706
Completed,0.77,2975,2636,2917,8,0.844
Completed,0.82,6519,1617,4079,7,0.331
Completed,0.85,739,688,2179,1,0.809
Completed,0.85,4240,4649,3358,10,0.221
Completed,0.8,3406,3581,4495,9,0.815
Completed,0.69,3808,2367,3887,10,0.952
Completed,0.73,3194,173,2351,3,0.437
Completed,0.84,4564,3866,3676,7,0.597
Completed,0.9,1417,4435,1936,5,0.613
Completed,0.83,1592,2733,1829,3,0.486
Completed,0.85,7236,1384,3004,9,0.545
Completed,0.82,3650,4885,4433,6,0.903
Completed,0.71,3601,269,3996,1,0.217
Completed,0.84,3802,3458,3589,4,0.358
Completed,0.86,934,823,1721,5,0.946
Completed,0.86,2349,4181,3957,3,0.606
